label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Blois,,10.2,2354,11773,Tempérée,"Agro, Pharmaceutique"
Bobigny,,25.7,2763,13817,Tempérée,"Finance, Luxe, Santé"
Bois-Colombes,,25.7,1468,7344,Tempérée,"Finance, Luxe, Santé"
Bondy,,25.7,2553,12766,Tempérée,"Finance, Luxe, Santé"
Bordeaux,,13.4,13266,66332,Océanique,"Agroalimentaire, Vin"
Bouguenais,,11.9,1029,5147,Océanique,"Naval, Agro"
Boulogne-Billancourt,,25.7,6010,30051,Tempérée,"Finance, Luxe, Santé"
Boulogne-sur-Mer,,10.5,2051,10259,Froide,"Logistique, Commerce"
Bourg-en-Bresse,,12.3,2103,10516,Montagne,"Industrie, Recherche"
Bourg-la-Reine,,25.7,1057,5285,Tempérée,"Finance, Luxe, Santé"
Bourges,,10.2,3211,16059,Tempérée,"Agro, Pharmaceutique"
Bourgoin-Jallieu,,12.3,1490,7454,Montagne,"Industrie, Recherche"
Brest,,11.2,7049,35248,Océanique,"Numérique, Éducation"
Brive-la-Gaillarde,,13.4,2338,11692,Océanique,"Agroalimentaire, Vin"
Bron,,12.3,2142,10712,Montagne,"Industrie, Recherche"
Bruay-la-Buissière,,10.5,1099,5499,Froide,"Logistique, Commerce"
Bruges,,13.4,1019,5095,Océanique,"Agroalimentaire, Vin"
Brunoy,,25.7,1289,6448,Tempérée,"Finance, Luxe, Santé"
Brétigny-sur-Orge,,25.7,1332,6664,Tempérée,"Finance, Luxe, Santé"
Bussy-Saint-Georges,,25.7,1316,6583,Tempérée,"Finance, Luxe, Santé"
Bègles,,13.4,1548,7742,Océanique,"Agroalimentaire, Vin"
Béthune,,10.5,1267,6335,Froide,"Logistique, Commerce"
Béziers,,13.0,4040,20203,Ensoleillée,"Aérospatial, Santé"
Cachan,,25.7,1526,7631,Tempérée,"Finance, Luxe, Santé"
Caen,,9.3,5419,27099,Océanique,"Agro, Maritime"
Cagnes-sur-Mer,,14.6,2642,13213,Ensoleillée,"Tourisme, Santé"
Calais,,10.5,3379,16896,Froide,"Logistique, Commerce"
Caluire-et-Cuire,,12.3,2173,10869,Montagne,"Industrie, Recherche"
Cambrai,,10.5,1578,7892,Froide,"Logistique, Commerce"
Cannes,,14.6,3702,18510,Ensoleillée,"Tourisme, Santé"
Carcassonne,,13.0,2321,11607,Ensoleillée,"Aérospatial, Santé"
Carpentras,,14.6,1542,7713,Ensoleillée,"Tourisme, Santé"
Carquefou,,11.9,1026,5133,Océanique,"Naval, Agro"
Castelnau-le-Lez,,13.0,1270,6351,Ensoleillée,"Aérospatial, Santé"
Castres,,13.0,2135,10675,Ensoleillée,"Aérospatial, Santé"
Cavaillon,,14.6,1294,6472,Ensoleillée,"Tourisme, Santé"
Cayenne,,12.0,3197,15989,Tempérée,"Services, Commerce"
Cenon,,13.4,1339,6696,Océanique,"Agroalimentaire, Vin"
Cergy,,25.7,3478,17394,Tempérée,"Finance, Luxe, Santé"
Challans,,11.9,1144,5722,Océanique,"Naval, Agro"
Chalon-sur-Saône,,10.4,2229,11148,Tempérée,"Agro, Mécanique"
Chambéry,,12.3,3012,15062,Montagne,"Industrie, Recherche"
Champigny-sur-Marne,,25.7,3918,19591,Tempérée,"Finance, Luxe, Santé"
Champs-sur-Marne,,25.7,1333,6665,Tempérée,"Finance, Luxe, Santé"
Charenton-le-Pont,,25.7,1437,7189,Tempérée,"Finance, Luxe, Santé"
Charleville-Mézières,,11.5,2281,11408,Froide,"Énergie, Industrie"
Chartres,,10.2,1899,9497,Tempérée,"Agro, Pharmaceutique"
Chatou,,25.7,1502,7513,Tempérée,"Finance, Luxe, Santé"
Chaumont,,11.5,1070,5354,Froide,"Énergie, Industrie"
Chaville,,25.7,1009,5049,Tempérée,"Finance, Luxe, Santé"
Chelles,,25.7,2718,13593,Tempérée,"Finance, Luxe, Santé"
Chemillé-en-Anjou,,11.9,1077,5387,Océanique,"Naval, Agro"
Cherbourg-en-Cotentin,,9.3,3901,19507,Océanique,"Agro, Maritime"
Choisy-le-Roi,,25.7,2306,11530,Tempérée,"Finance, Luxe, Santé"
Cholet,,11.9,2703,13518,Océanique,"Naval, Agro"
Châlons-en-Champagne,,11.5,2160,10804,Froide,"Énergie, Industrie"
Châteauroux,,10.2,2153,10769,Tempérée,"Agro, Pharmaceutique"
Châtellerault,,13.4,1555,7776,Océanique,"Agroalimentaire, Vin"
Châtenay-Malabry,,25.7,1774,8872,Tempérée,"Finance, Luxe, Santé"
Châtillon,,25.7,1811,9056,Tempérée,"Finance, Luxe, Santé"
Clamart,,25.7,2844,14220,Tempérée,"Finance, Luxe, Santé"
Clermont-Ferrand,,12.3,7387,36937,Montagne,"Industrie, Recherche"
Clichy,,25.7,3255,16275,Tempérée,"Finance, Luxe, Santé"
Clichy-sous-Bois,,25.7,1477,7387,Tempérée,"Finance, Luxe, Santé"
Colmar,,11.5,3368,16840,Froide,"Énergie, Industrie"
Colombes,,25.7,4534,22673,Tempérée,"Finance, Luxe, Santé"
Colomiers,,13.0,2045,10229,Ensoleillée,"Aérospatial, Santé"
Combs-la-Ville,,25.7,1135,5678,Tempérée,"Finance, Luxe, Santé"
Compiègne,,10.5,2040,10202,Froide,"Logistique, Commerce"
Concarneau,,11.2,1031,5158,Océanique,"Numérique, Éducation"
Conflans-Sainte-Honorine,,25.7,1815,9076,Tempérée,"Finance, Luxe, Santé"
Corbeil-Essonnes,,25.7,2685,13428,Tempérée,"Finance, Luxe, Santé"
Cormeilles-en-Parisis,,25.7,1354,6771,Tempérée,"Finance, Luxe, Santé"
Coudekerque-Branche,,10.5,1041,5208,Froide,"Logistique, Commerce"
Courbevoie,,25.7,4097,20486,Tempérée,"Finance, Luxe, Santé"
Cournon-d'Auvergne,,12.3,1001,5005,Montagne,"Industrie, Recherche"
Couëron,,11.9,1177,5885,Océanique,"Naval, Agro"
Creil,,10.5,1824,9123,Froide,"Logistique, Commerce"
Croix,,10.5,1047,5239,Froide,"Logistique, Commerce"
Créteil,,25.7,4642,23214,Tempérée,"Finance, Luxe, Santé"
Cugnaux,,13.0,1011,5059,Ensoleillée,"Aérospatial, Santé"
Dammarie-les-Lys,,25.7,1162,5813,Tempérée,"Finance, Luxe, Santé"
Dax,,13.4,1085,5429,Océanique,"Agroalimentaire, Vin"
Denain,,10.5,1031,5155,Froide,"Logistique, Commerce"
Deuil-la-Barre,,25.7,1145,5725,Tempérée,"Finance, Luxe, Santé"
Dieppe,,9.3,1429,7149,Océanique,"Agro, Maritime"
Dijon,,10.4,7997,39985,Tempérée,"Agro, Mécanique"
Dole,,10.4,1189,5946,Tempérée,"Agro, Mécanique"
Douai,,10.5,1991,9958,Froide,"Logistique, Commerce"
Draguignan,,14.6,2039,10197,Ensoleillée,"Tourisme, Santé"
Drancy,,25.7,3565,17828,Tempérée,"Finance, Luxe, Santé"
Draveil,,25.7,1491,7456,Tempérée,"Finance, Luxe, Santé"
Dreux,,10.2,1560,7801,Tempérée,"Agro, Pharmaceutique"
Dumbéa,,12.0,1793,8968,Tempérée,"Services, Commerce"
Dunkerque,,10.5,4350,21753,Froide,"Logistique, Commerce"
Décines-Charpieu,,12.3,1495,7476,Montagne,"Industrie, Recherche"
Eaubonne,,25.7,1296,6483,Tempérée,"Finance, Luxe, Santé"
Ermont,,25.7,1459,7297,Tempérée,"Finance, Luxe, Santé"
Eysines,,13.4,1221,6109,Océanique,"Agroalimentaire, Vin"
Faaa,,12.0,1475,7376,Tempérée,"Services, Commerce"
Fleury-les-Aubrais,,10.2,1083,5416,Tempérée,"Agro, Pharmaceutique"
Fontaine,,12.3,1123,5617,Montagne,"Industrie, Recherche"
Fontenay-aux-Roses,,25.7,1229,6146,Tempérée,"Finance, Luxe, Santé"
Fontenay-sous-Bois,,25.7,2632,13161,Tempérée,"Finance, Luxe, Santé"
Forbach,,11.5,1055,5277,Froide,"Énergie, Industrie"
Fort-de-France,,12.0,3758,18791,Tempérée,"Services, Commerce"
Fougères,,11.2,1030,5150,Océanique,"Numérique, Éducation"
Franconville,,25.7,1901,9506,Tempérée,"Finance, Luxe, Santé"
Fresnes,,25.7,1464,7324,Tempérée,"Finance, Luxe, Santé"
Frontignan,,13.0,1189,5947,Ensoleillée,"Aérospatial, Santé"
Fréjus,,14.6,2924,14624,Ensoleillée,"Tourisme, Santé"
Gagny,,25.7,2039,10197,Tempérée,"Finance, Luxe, Santé"
Gap,,14.6,2032,10164,Ensoleillée,"Tourisme, Santé"
Gardanne,,14.6,1076,5383,Ensoleillée,"Tourisme, Santé"
Garges-lès-Gonesse,,25.7,2119,10597,Tempérée,"Finance, Luxe, Santé"
Gennevilliers,,25.7,2543,12718,Tempérée,"Finance, Luxe, Santé"
Gif-sur-Yvette,,25.7,1128,5644,Tempérée,"Finance, Luxe, Santé"
Givors,,12.3,1047,5235,Montagne,"Industrie, Recherche"
Gonesse,,25.7,1347,6739,Tempérée,"Finance, Luxe, Santé"
Goussainville,,25.7,1547,7738,Tempérée,"Finance, Luxe, Santé"
Gradignan,,13.4,1309,6546,Océanique,"Agroalimentaire, Vin"
Grande-Synthe,,10.5,1017,5086,Froide,"Logistique, Commerce"
Grasse,,14.6,2433,12167,Ensoleillée,"Tourisme, Santé"
Grenoble,,12.3,7819,39097,Montagne,"Industrie, Recherche"
Grigny,,25.7,1325,6625,Tempérée,"Finance, Luxe, Santé"
Gujan-Mestras,,13.4,1132,5660,Océanique,"Agroalimentaire, Vin"
Guyancourt,,25.7,1487,7439,Tempérée,"Finance, Luxe, Santé"
Haguenau,,11.5,1803,9017,Froide,"Énergie, Industrie"
Halluin,,10.5,1034,5171,Froide,"Logistique, Commerce"
Hazebrouck,,10.5,1089,5446,Froide,"Logistique, Commerce"
Herblay-sur-Seine,,25.7,1590,7954,Tempérée,"Finance, Luxe, Santé"
Houilles,,25.7,1680,8404,Tempérée,"Finance, Luxe, Santé"
Hyères,,14.6,2769,13846,Ensoleillée,"Tourisme, Santé"
Hénin-Beaumont,,10.5,1288,6441,Froide,"Logistique, Commerce"
Hérouville-Saint-Clair,,9.3,1123,5618,Océanique,"Agro, Maritime"
Illkirch-Graffenstaden,,11.5,1366,6834,Froide,"Énergie, Industrie"
Issy-les-Moulineaux,,25.7,3384,16923,Tempérée,"Finance, Luxe, Santé"
Istres,,14.6,2202,11011,Ensoleillée,"Tourisme, Santé"
Ivry-sur-Seine,,25.7,3226,16131,Tempérée,"Finance, Luxe, Santé"
Joinville-le-Pont,,25.7,1039,5196,Tempérée,"Finance, Luxe, Santé"
Joué-lès-Tours,,10.2,1921,9608,Tempérée,"Agro, Pharmaceutique"
Koungou,,12.0,1607,8039,Tempérée,"Services, Commerce"
Kourou,,12.0,1223,6117,Tempérée,"Services, Commerce"
L'Haÿ-les-Roses,,25.7,1566,7834,Tempérée,"Finance, Luxe, Santé"
L'Isle-sur-la-Sorgue,,14.6,1015,5078,Ensoleillée,"Tourisme, Santé"
La Celle-Saint-Cloud,,25.7,1022,5110,Tempérée,"Finance, Luxe, Santé"
La Chapelle-sur-Erdre,,11.9,1024,5120,Océanique,"Naval, Agro"
La Ciotat,,14.6,1879,9399,Ensoleillée,"Tourisme, Santé"
La Courneuve,,25.7,2354,11771,Tempérée,"Finance, Luxe, Santé"
La Garde,,14.6,1315,6579,Ensoleillée,"Tourisme, Santé"
La Garenne-Colombes,,25.7,1491,7457,Tempérée,"Finance, Luxe, Santé"
La Madeleine,,10.5,1108,5540,Froide,"Logistique, Commerce"
La Possession,,12.0,1819,9097,Tempérée,"Services, Commerce"
La Roche-sur-Yon,,11.9,2734,13674,Océanique,"Naval, Agro"
La Rochelle,,13.4,3998,19990,Océanique,"Agroalimentaire, Vin"
La Seyne-sur-Mer,,14.6,3145,15726,Ensoleillée,"Tourisme, Santé"
La Teste-de-Buch,,13.4,1357,6785,Océanique,"Agroalimentaire, Vin"
La Valette-du-Var,,14.6,1183,5915,Ensoleillée,"Tourisme, Santé"
Lagny-sur-Marne,,25.7,1071,5358,Tempérée,"Finance, Luxe, Santé"
Lambersart,,10.5,1355,6776,Froide,"Logistique, Commerce"
Lanester,,11.2,1159,5797,Océanique,"Numérique, Éducation"
Lannion,,11.2,1026,5131,Océanique,"Numérique, Éducation"
Laon,,10.5,1203,6016,Froide,"Logistique, Commerce"
Laval,,11.9,2473,12368,Océanique,"Naval, Agro"
Le Blanc-Mesnil,,25.7,2995,14978,Tempérée,"Finance, Luxe, Santé"
Le Bouscat,,13.4,1213,6065,Océanique,"Agroalimentaire, Vin"
Le Cannet,,14.6,2009,10049,Ensoleillée,"Tourisme, Santé"
Le Chesnay-Rocquencourt,,25.7,1553,7766,Tempérée,"Finance, Luxe, Santé"
Le Creusot,,10.4,1026,5134,Tempérée,"Agro, Mécanique"
Le Gosier,,12.0,1360,6801,Tempérée,"Services, Commerce"
Le Grand-Quevilly,,9.3,1297,6488,Océanique,"Agro, Maritime"
Le Havre,,9.3,8323,41615,Océanique,"Agro, Maritime"
Le Kremlin-Bicêtre,,25.7,1183,5919,Tempérée,"Finance, Luxe, Santé"
Le Lamentin,,12.0,1967,9836,Tempérée,"Services, Commerce"
Le Mans,,11.9,7259,36295,Océanique,"Naval, Agro"
Le Mont-Dore,,12.0,1381,6905,Tempérée,"Services, Commerce"
Le Moule,,12.0,1146,5731,Tempérée,"Services, Commerce"
Le Perreux-sur-Marne,,25.7,1732,8663,Tempérée,"Finance, Luxe, Santé"
Le Petit-Quevilly,,9.3,1096,5483,Océanique,"Agro, Maritime"
Le Plessis-Robinson,,25.7,1444,7223,Tempérée,"Finance, Luxe, Santé"
Le Plessis-Trévise,,25.7,1054,5274,Tempérée,"Finance, Luxe, Santé"
Le Port,,12.0,1683,8417,Tempérée,"Services, Commerce"
Le Robert,,12.0,1074,5372,Tempérée,"Services, Commerce"
Le Tampon,,12.0,4098,20491,Tempérée,"Services, Commerce"
Lens,,10.5,1634,8174,Froide,"Logistique, Commerce"
Les Abymes,,12.0,2588,12940,Tempérée,"Services, Commerce"
Les Lilas,,25.7,1163,5815,Tempérée,"Finance, Luxe, Santé"
Les Mureaux,,25.7,1707,8537,Tempérée,"Finance, Luxe, Santé"
Les Pavillons-sous-Bois,,25.7,1243,6218,Tempérée,"Finance, Luxe, Santé"
Les Pennes-Mirabeau,,14.6,1121,5605,Ensoleillée,"Tourisme, Santé"
Les Sables-d'Olonne,,11.9,2437,12185,Océanique,"Naval, Agro"
Les Ulis,,25.7,1281,6408,Tempérée,"Finance, Luxe, Santé"
Levallois-Perret,,25.7,3420,17103,Tempérée,"Finance, Luxe, Santé"
Libourne,,13.4,1233,6167,Océanique,"Agroalimentaire, Vin"
Lille,,10.5,11934,59673,Froide,"Logistique, Commerce"
Limeil-Brévannes,,25.7,1390,6951,Tempérée,"Finance, Luxe, Santé"
Limoges,,13.4,6487,32438,Océanique,"Agroalimentaire, Vin"
Lingolsheim,,11.5,1034,5170,Froide,"Énergie, Industrie"
Livry-Gargan,,25.7,2325,11626,Tempérée,"Finance, Luxe, Santé"
Liévin,,10.5,1505,7528,Froide,"Logistique, Commerce"
Longjumeau,,25.7,1023,5117,Tempérée,"Finance, Luxe, Santé"
Loos,,10.5,1147,5737,Froide,"Logistique, Commerce"
Lorient,,11.2,2910,14550,Océanique,"Numérique, Éducation"
Lormont,,13.4,1232,6163,Océanique,"Agroalimentaire, Vin"
Lunel,,13.0,1319,6595,Ensoleillée,"Aérospatial, Santé"
Lyon,,12.3,26038,130193,Montagne,"Industrie, Recherche"
Maisons-Alfort,,25.7,2871,14355,Tempérée,"Finance, Luxe, Santé"
Maisons-Laffitte,,25.7,1142,5713,Tempérée,"Finance, Luxe, Santé"
Malakoff,,25.7,1509,7545,Tempérée,"Finance, Luxe, Santé"
Mamoudzou,,12.0,3571,17859,Tempérée,"Services, Commerce"
Mandelieu-la-Napoule,,14.6,1060,5300,Ensoleillée,"Tourisme, Santé"
Manosque,,14.6,1140,5701,Ensoleillée,"Tourisme, Santé"
Mantes-la-Jolie,,25.7,2212,11061,Tempérée,"Finance, Luxe, Santé"
Mantes-la-Ville,,25.7,1093,5468,Tempérée,"Finance, Luxe, Santé"
Marcq-en-Barœul,,10.5,1997,9985,Froide,"Logistique, Commerce"
Marignane,,14.6,1658,8291,Ensoleillée,"Tourisme, Santé"
Marseille,,14.6,43860,219303,Ensoleillée,"Tourisme, Santé"
Martigues,,14.6,2440,12204,Ensoleillée,"Tourisme, Santé"
Massy,,25.7,2529,12649,Tempérée,"Finance, Luxe, Santé"
Matoury,,12.0,1777,8887,Tempérée,"Services, Commerce"
Maubeuge,,10.5,1443,7219,Froide,"Logistique, Commerce"
Meaux,,25.7,2832,14164,Tempérée,"Finance, Luxe, Santé"
Melun,,25.7,2184,10921,Tempérée,"Finance, Luxe, Santé"
Menton,,14.6,1516,7581,Ensoleillée,"Tourisme, Santé"
Metz,,11.5,6084,30423,Froide,"Énergie, Industrie"
Meudon,,25.7,2336,11680,Tempérée,"Finance, Luxe, Santé"
Meyzieu,,12.3,1821,9109,Montagne,"Industrie, Recherche"
Millau,,13.0,1092,5464,Ensoleillée,"Aérospatial, Santé"
Miramas,,14.6,1294,6472,Ensoleillée,"Tourisme, Santé"
Mitry-Mory,,25.7,1019,5098,Tempérée,"Finance, Luxe, Santé"
Mons-en-Barœul,,10.5,1068,5342,Froide,"Logistique, Commerce"
Mont-Saint-Aignan,,9.3,1009,5047,Océanique,"Agro, Maritime"
Mont-de-Marsan,,13.4,1572,7863,Océanique,"Agroalimentaire, Vin"
Montaigu-Vendée,,11.9,1037,5188,Océanique,"Naval, Agro"
Montauban,,13.0,3124,15621,Ensoleillée,"Aérospatial, Santé"
Montbéliard,,10.4,1275,6379,Tempérée,"Agro, Mécanique"
Montereau-Fault-Yonne,,25.7,1092,5460,Tempérée,"Finance, Luxe, Santé"
Montfermeil,,25.7,1412,7064,Tempérée,"Finance, Luxe, Santé"
Montgeron,,25.7,1194,5972,Tempérée,"Finance, Luxe, Santé"
Montigny-le-Bretonneux,,25.7,1607,8037,Tempérée,"Finance, Luxe, Santé"
Montigny-lès-Cormeilles,,25.7,1119,5597,Tempérée,"Finance, Luxe, Santé"
Montigny-lès-Metz,,11.5,1093,5467,Froide,"Énergie, Industrie"
Montluçon,,12.3,1665,8329,Montagne,"Industrie, Recherche"
Montmorency,,25.7,1083,5419,Tempérée,"Finance, Luxe, Santé"
Montpellier,,13.0,15355,76775,Ensoleillée,"Aérospatial, Santé"
Montreuil,,25.7,5537,27689,Tempérée,"Finance, Luxe, Santé"
Montrouge,,25.7,2313,11568,Tempérée,"Finance, Luxe, Santé"
Montélimar,,12.3,2017,10089,Montagne,"Industrie, Recherche"
Morsang-sur-Orge,,25.7,1058,5290,Tempérée,"Finance, Luxe, Santé"
Mulhouse,,11.5,5246,26231,Froide,"Énergie, Industrie"
Muret,,13.0,1282,6413,Ensoleillée,"Aérospatial, Santé"
Mâcon,,10.4,1737,8689,Tempérée,"Agro, Mécanique"
Mérignac,,13.4,3856,19284,Océanique,"Agroalimentaire, Vin"
Nancy,,11.5,5219,26096,Froide,"Énergie, Industrie"
Nanterre,,25.7,4905,24529,Tempérée,"Finance, Luxe, Santé"
Nantes,,11.9,16253,81267,Océanique,"Naval, Agro"
Narbonne,,13.0,2834,14173,Ensoleillée,"Aérospatial, Santé"
Neuilly-Plaisance,,25.7,1095,5478,Tempérée,"Finance, Luxe, Santé"
Neuilly-sur-Marne,,25.7,1939,9699,Tempérée,"Finance, Luxe, Santé"
Neuilly-sur-Seine,,25.7,2960,14800,Tempérée,"Finance, Luxe, Santé"
Nevers,,10.4,1658,8293,Tempérée,"Agro, Mécanique"
Nice,,14.6,17685,88425,Ensoleillée,"Tourisme, Santé"
Niort,,13.4,3003,15018,Océanique,"Agroalimentaire, Vin"
Nogent-sur-Marne,,25.7,1649,8249,Tempérée,"Finance, Luxe, Santé"
Nogent-sur-Oise,,10.5,1092,5464,Froide,"Logistique, Commerce"
Noisy-le-Grand,,25.7,3581,17908,Tempérée,"Finance, Luxe, Santé"
Noisy-le-Sec,,25.7,2295,11478,Tempérée,"Finance, Luxe, Santé"
Nouméa,,12.0,4714,23571,Tempérée,"Services, Commerce"
Nîmes,,13.0,7522,37611,Ensoleillée,"Aérospatial, Santé"
Olivet,,10.2,1149,5747,Tempérée,"Agro, Pharmaceutique"
Orange,,14.6,1467,7339,Ensoleillée,"Tourisme, Santé"
Orly,,25.7,1224,6122,Tempérée,"Finance, Luxe, Santé"
Orléans,,10.2,5817,29086,Tempérée,"Agro, Pharmaceutique"
Orvault,,11.9,1417,7085,Océanique,"Naval, Agro"
Oullins-Pierre-Bénite,,12.3,1896,9482,Montagne,"Industrie, Recherche"
Oyonnax,,12.3,1118,5594,Montagne,"Industrie, Recherche"
Ozoir-la-Ferrière,,25.7,1048,5242,Tempérée,"Finance, Luxe, Santé"
Palaiseau,,25.7,1803,9016,Tempérée,"Finance, Luxe, Santé"
Pantin,,25.7,3047,15238,Tempérée,"Finance, Luxe, Santé"
Papeete,,12.0,1346,6731,Tempérée,"Services, Commerce"
Paris,,25.7,105685,528426,Tempérée,"Finance, Luxe, Santé"
Pau,,13.4,3931,19655,Océanique,"Agroalimentaire, Vin"
Païta,,12.0,1228,6140,Tempérée,"Services, Commerce"
Perpignan,,13.0,6049,30249,Ensoleillée,"Aérospatial, Santé"
Pessac,,13.4,3343,16718,Océanique,"Agroalimentaire, Vin"
Petit-Bourg,,12.0,1214,6074,Tempérée,"Services, Commerce"
Plaisance-du-Touch,,13.0,1023,5117,Ensoleillée,"Aérospatial, Santé"
Plaisir,,25.7,1598,7992,Tempérée,"Finance, Luxe, Santé"
Poissy,,25.7,2039,10198,Tempérée,"Finance, Luxe, Santé"
Poitiers,,13.4,4473,22368,Océanique,"Agroalimentaire, Vin"
Pontault-Combault,,25.7,1947,9735,Tempérée,"Finance, Luxe, Santé"
Pontoise,,25.7,1581,7905,Tempérée,"Finance, Luxe, Santé"
Punaauia,,12.0,1405,7025,Tempérée,"Services, Commerce"
Puteaux,,25.7,2209,11049,Tempérée,"Finance, Luxe, Santé"
Périgueux,,13.4,1493,7469,Océanique,"Agroalimentaire, Vin"
Quimper,,11.2,3226,16132,Océanique,"Numérique, Éducation"
Rambouillet,,25.7,1357,6786,Tempérée,"Finance, Luxe, Santé"
Reims,,11.5,8923,44619,Froide,"Énergie, Industrie"
Remire-Montjoly,,12.0,1351,6759,Tempérée,"Services, Commerce"
Rennes,,11.2,11391,56957,Océanique,"Numérique, Éducation"
Rezé,,11.9,2167,10837,Océanique,"Naval, Agro"
Rillieux-la-Pape,,12.3,1573,7869,Montagne,"Industrie, Recherche"
Ris-Orangis,,25.7,1514,7570,Tempérée,"Finance, Luxe, Santé"
Roanne,,12.3,1768,8841,Montagne,"Industrie, Recherche"
Rochefort,,13.4,1159,5797,Océanique,"Agroalimentaire, Vin"
Rodez,,13.0,1206,6034,Ensoleillée,"Aérospatial, Santé"
Roissy-en-Brie,,25.7,1176,5880,Tempérée,"Finance, Luxe, Santé"
Romainville,,25.7,1765,8828,Tempérée,"Finance, Luxe, Santé"
Romans-sur-Isère,,12.3,1656,8284,Montagne,"Industrie, Recherche"
Rosny-sous-Bois,,25.7,2297,11486,Tempérée,"Finance, Luxe, Santé"
Roubaix,,10.5,4975,24876,Froide,"Logistique, Commerce"
Rouen,,9.3,5816,29082,Océanique,"Agro, Maritime"
Rueil-Malmaison,,25.7,4042,20210,Tempérée,"Finance, Luxe, Santé"
Saint-André,,12.0,2877,14386,Tempérée,"Services, Commerce"
Saint-Benoît,,12.0,1879,9396,Tempérée,"Services, Commerce"
Saint-Brieuc,,11.2,2230,11151,Océanique,"Numérique, Éducation"
Saint-Chamond,,12.3,1779,8896,Montagne,"Industrie, Recherche"
Saint-Cloud,,25.7,1492,7464,Tempérée,"Finance, Luxe, Santé"
Saint-Cyr-l'École,,25.7,1022,5112,Tempérée,"Finance, Luxe, Santé"
Saint-Denis,,25.7,5761,28809,Tempérée,"Finance, Luxe, Santé"
Saint-Denis,,12.0,7807,39037,Tempérée,"Services, Commerce"
Saint-Dizier,,11.5,1140,5702,Froide,"Énergie, Industrie"
